Unnamed: 0,ID,Prix,Un. rés.,Rev. brut. pot.,YearBuilt,Type de bâtiment,Dimensions du bâtiment,Éval. terrain,Superficie habitable,Éval. bâtiment,Dimensions du terrain,Cert. de localisation,Superficie du terrain,Plan d'eau,Piscine,Stationnement (total),Chauffage,Eau (accès),Foyers-Poêles,Équip./Serv.,Rénovations,Inclusions,Exclusions,Remarques - Courtier,Addenda,Nbre pièces,Nbre chambres (hors-sol + sous-sol),Nbre salles de bains + salles d'eau
0,1,1 000 000 $,3,46 200 $,Triplex dans le quartier Saint-Henri/Petite Bourgogne construit en 1900,En rangée,,254 400 $,"2 972,99 pc /    276,2 mc",755 700 $,"25 X 100 p / 7,62 X 30,48 m",Non,"2 500,46 pc /    232,3 mc",,,Garage (1),Plinthes électriques,,,"Ascenseur(s), Buanderie",,,Effets personnels des locataires,"Ne manquez pas cette incroyable opportunité de posséder un triplex magnifiquement rénové au coeur de St-Henri, offrant un mélange de commodités urbaines, d'excellents locataires et un emplacement idéal près des points chauds branchés, des espaces verts et du transport en commun pratique.  -Rénové en 2015 de A à Z, y compris la plomberie, l'électricité, le toit, le revêtement et l'intérieur. Situé à seulement 5 minutes du métro Place St-Henri, du marché Atwater et du canal Lachine. À quelques pas de la rue Notre-Dame. Planifiez votre visite dès aujourd'hui et envisagez le style de vie qui vous attend dans ce quartier vibrant et recherché !","Bienvenue à St-Henri, un quartier dynamique connu pour ses restaurants, bars et cafés branchés. Niché au coeur de St-Henri, vous découvrirez un superbe triplex qui a fait l'objet d'une rénovation complète en 2015. Cette propriété offre non seulement une excellente opportunité d'investissement avec des locataires exceptionnels, mais offre également la possibilité d'occuper l'unité du dernier étage.En approchant le triplex, vous remarquerez immédiatement son extérieur charmant et sa façade bien entretenue, ainsi qu'un garage. À l'intérieur, vous serez accueilli par des intérieurs conçus avec goût. L'ensemble de la propriété a été entièrement rénové en 2015, garantissant une expérience de vie contemporaine à la fois pour les occupants et les acheteurs potentiels.Chacune des trois unités du triplex bénéficie de finitions impeccables, offrant une atmosphère confortable et accueillante. Les locataires actuels se sont avérés excellents et fiables, fournissant un revenu locatif stable et cohérent. Cependant, la flexibilité de cette propriété permet la possibilité d'occuper l'unité du dernier étage vous-même, vous offrant la chance de vivre le style de vie de Saint-Henri.L'emplacement est essentiel et ce triplex bénéficie d'une position privilégiée à quelques pas de la rue Notre-Dame, bordée de restaurants, de bars et de cafés branchés, répondant à toutes les envies culinaires et à toutes les occasions sociales. Que vous recherchiez un dîner confortable, une soirée animée ou une tasse de café relaxante, vous trouverez une multitude d'options à votre porte.Pour ceux qui apprécient les activités de plein air, le triplex est idéalement situé à proximité de la station de métro Saint-Henri, ce qui facilite l'exploration de la ville et l'accès à diverses commodités. De plus, le célèbre canal de Lachine et le marché Atwater ne sont qu'à quelques minutes, offrant d'innombrables possibilités de promenades, de randonnées à vélo et de dégustation de produits frais et de délices locaux.",8.0,3.0,1+0
1,2,725 000 $,3,37 200 $,Triplex dans le quartier Saint-Henri/Petite Bourgogne construit en 1910,En rangée,"25 X  p irr / 7,62 X m irr",254 400 $,"2 895 pc /    268,95 mc",539 100 $,"25,5 X 100 p / 7,74 X 30,48 m",Oui (2022),"2 500,46 pc /    232,3 mc",,,Allée (1),,,,,,,,"Triplex situé au coeur du très convoité secteur de St-Henri, à proximité de tous les services essentiels, des parcs et des transports en commun. Cet immeuble a été minutieusement entretenu par son propriétaire depuis plus de 35 ans. Excellente opportunité pour un investisseur, possibilité également d'acquérir son immeuble voisin le 4843-4847 rue Dagenais. Le rez de chaussée dispose d'un espace stationnement privé et d'une grande cour. Bienvenue!","CARACTÉRISTIQUES :+Stationnement extérieur+Revenu brut potentiels effectifs en juillet 2023 : 37 200$$+Possibilité d'acquérir l'immeuble jumeau voisin:4843-4847 rue Dagenais #Centris 21116063+Énormément de potentielLOCALISATION+ Emplacement convoité, près de tous les services essentiels et restaurants de la rue Notre-Dame, de nombreux parcs, et du Canal Lachine+ À 5 min de marche de la place du métro St-Henri, de plusieurs lignes d'autobus et de piste cyclables+ Accès rapide aux autoroutes 15, 20, 720 & 10.+ Accès au parc Sir George Étienne Cartier : piscine municipale, terrains de tennis et de pétanques, et....**La dimension en superficie habitable est référée à celle sur évaluation foncière**Les revenus indiqués sont ceux des revenus potentiels effectifs dès 1er juillet 2023.**Les visites seront possibles pendant des bloc de visites sur rendez-vous:-Dimanche le 16 avril entre 12h30-14h30-Lundi le le 17 avril entre 13h30-15h00-Mercredi le 19 avril entre 11h00-12h30",5.0,3.0,1+0
2,3,725 000 $,3,37 500 $,Triplex dans le quartier Saint-Henri/Petite Bourgogne construit en 1910,En rangée,"25 X  p irr / 7,62 X m irr",254 400 $,"2 897,64 pc /    269,2 mc",513 600 $,"25,5 X 100 p / 7,74 X 30,48 m",Oui (2022),"2 500,46 pc /    232,3 mc",,,Allée (1),,,,,,,,"Triplex situé au coeur du très convoité secteur de St-Henri, à proximité de tous les services essentiels, des parcs et des transports en commun. Cet immeuble a été minutieusement entretenu par son propriétaire depuis plus de 35 ans. Excellente opportunité pour un investisseur, possibilité également d'acquérir son immeuble voisin le 4837-4841 rue Dagenais. Le rez de chaussée dispose d'un espace stationnement privé et d'une grande cour. Bienvenue!","LOCALISATION+ Emplacement convoité, près de tous les services essentiels et restaurants de la rue Notre-Dame, de nombreux parcs, et du Canal Lachine+ À 5 min de marche de la place du métro St-Henri, de plusieurs lignes d'autobus et de piste cyclables+ Accès rapide aux autoroutes 15, 20, 720 & 10.+ Accès au parc Sir George Étienne Cartier : piscine municipale, terrains de tennis et de pétanques, et....**La dimension en superficie habitable est référée à celle sur évaluation foncière**Les revenus indiqués sont ceux des revenus potentiels effectifs dès 1er juillet 2023.**Les visites seront possibles pendant des bloc de visites sur rendez-vous:-Dimanche le 16 avril entre 12h30-14h30-Lundi le le 17 avril entre 13h30-15h00-Mercredi le 19 avril entre 11h00-12h30",5.0,3.0,1+0
3,4,942 000 $,3,54 660 $,Triplex dans le quartier Saint-Henri/Petite Bourgogne construit en 1910,En rangée,"25 X 58,2 p irr / 7,62 X 17,73 m irr",254 400 $,,939 400 $,"25 X 100 p / 7,62 X 30,48 m",Oui (2005),"2 500,46 pc /    232,3 mc",,,Garage (2),Plinthes électriques,,,Thermopompe murale,,"Cuisinière, réfrigérateur, lave-vaisselle, laveuse et sécheuse (4849 et 4851)","Cuisinière, réfrigérateur, lave-vaisselle, laveuse et sécheuse (4853)","Triplex dans Saint-Henri, un secteur très recherché du Sud-Ouest. Bâtiment avec 2x 5.5 et 1x 4.5 en plus d'un très RARE garage double détaché. 4849 et 4851 ont été entièrement rénovés. Près de tous les restaurants et parcs de Notre-Dame, le CHUM et le Canal Lachine.","Les visites débuteront le jeudi 17 novembre, 2022.",5.0,3.0,1+0
4,5,732 000 $,2,32 400 $,Duplex dans le quartier Saint-Paul/Émard construit en 1930,En rangée,"25 X 45 p / 7,62 X 13,72 m",149 400 $,"2 292 pc /    212,93 mc",274 100 $,"25 X 90 p / 7,62 X 27,43 m",Non,"2 250 pc /    209,03 mc",,,Allée (2),Plinthes électriques,,,,,"5933 : Fixtures, stores, rideaux et pôles, hotte de la cuisine, chauffe-eau au gaz en location à 16$,10/mois. Les meubles restants dans la propriété. 5935 : Chauffe-eau électrique",5933 : Tous les biens du locataires,"Opportunité intéressante pour investisseurs ou propriétaire occupant! Duplex tout brique qui vous offre une possibilité d'optimisation profitable.  Le logement du bas est vacant et le bail du haut est renouvelé jusqu'en juin 2023. L'immeuble est situé près de la station de métro Angrignon ainsi que des commerces, grandes surfaces (épiceries, Walmart, Canadian Tire). Même propriétaire depuis plus de 65 ans.","Voici le 5933-5935, un duplex situé sur une rue très calme avec ruelle à l'arrière et plusieurs arbres matures. Vous serez à proximité des services essentiels et vous pourrez profiter d'un réseau de transport en commun adapté.  La station de métro Angrignon est localisée à 20 minutes à pieds et seulement 5 minutes en voiture.  Cet immeuble à revenu est un projet d'investissement très intéressant  grâce à sa possibilité d'optimisation. Au rez-de-chaussée, vous retrouverez un spacieux 5 1/2 très lumineux. Vous aurez également accès à une terrasse à l'arrière de l'immeuble ainsi qu'un sous-sol complètement aménagé avec des plafonds de 8 pieds; une rareté!  Au deuxième étage, vous retrouverez une unité comportant 2 chambres avec possibilité de 3. Des planchers de bois recouvrent les espaces communs de l'unité.  La cuisine spacieuse vous donne également accès au balcon extérieur.  L'immeuble bénéficie de 2 espaces de stationnements à l'arrière, avec un accès rapide par la ruelle. Ne manquez pas l'opportunité de devenir propriétaire de cet immeuble à revenu qui vous offre énormément de potentiel et réservez votre visite rapidement.",5.0,3.0,1+0
5,6,775 000 $,4,39 768 $,Quadruplex dans le quartier Saint-Paul/Émard construit en 1915,En rangée,"34,8 X 25 p / 10,57 X 7,62 m",149 400 $,,174 700 $,"90 X 25 p / 27,43 X 7,62 m",Oui (2018),"2 249,66 pc /    209 mc",,,Allée (2),Plinthes électriques,,,,,"Les électroménagers des 4 appartements: Réfrigérateurs, cuisinières, laveuses et sécheuses.",Les effets des locataires,"Situé à 13 min à pied du métro Monk, cet immeuble de 4 logements est idéalement situé à distance de marche des services, de parcs et de plusieurs stations de métro. Une belle opportunité à saisir!","Quartier familial et tranquille.L'IMMEUBLE:* Quatre logements 3 ½ (1 pièce double)* Installation laveuse-sécheuse dans les cuisines* Toiture refaite en 2020* Portes et fenêtres de tous les logements* Logements entièrement rénovés* Insonorisation supérieure#6100 : inclus cuisinière, réfrigérateur, laveuse et sécheuse et stationnement arrière, rangement. #6102 : inclus cuisinière, réfrigérateur, laveuse et sécheuse, stationnement arrière, rangement. #6104 : inclus cuisinière, réfrigérateur, laveuse et sécheuse, rangement. #6106 : inclus cuisinière, réfrigérateur, laveuse et sécheuse, rangement. L'EXTÉRIEUR -- ESPACES APPRÉCIÉS:* Cour arrière avec 2 espaces de stationnementLOCALISATION -- PRÈS DU CENTRE-VILLE: * Tout près des commerces et du Boul. Monk.* À 10 minutes à pied du Canal Lachine* À 20 minutes à pied du Parc Angrignon* Proche de la Promenade de l'Aqueduc, au coin du boulevard Champlain* À quelques minutes du marché Atwater et du centre-ville.* Nombreux parcs dans le secteur.TRANSPORT - FACILE AVEC PLUSIEURS OPTIONS! * À 13 minutes de marche du métro Monk et 18 minutes des métros Jolicoeur & Angrignon* À proximité de plusieurs lignes d'autobus * Stations BIXI, Communauto et Car2Go tout près.* Accès facile aux divers axes routiers: aut. 15, 20, 720 et 10.* À quelques coups de pédales des PISTES CYCLABLES de Verdun, du canal Lachine et du bord du fleuve.**VISITES SUR RENDEZ-VOUS**VISITES ce samedi 5 février de 14h à 16h",3.0,1.0,1+0
6,7,838 000 $,3,46 224 $,Triplex dans le quartier Saint-Paul/Émard construit en 1923,En rangée,,227 900 $,"2 039,11 pc /    189,44 mc",472 900 $,"25 X 89,3 p / 7,62 X 27,2 m",Non,"2 228,34 pc /    207,02 mc",,,,Plinthes électriques,,,Climatiseur mural,"Cuisine - 2019, Électricité - 2009, Fenestration - 2018, Isolation - 2009, Plomberie - 2009, Sous-sol - 2009, Drain français  - 2009","Toiles des 4 CACs, lumières au plafond, miroir des 2 SDB, système d'alarme, hotte du poêle, support TV SS,2 PAX garde-robe SS(sal), barrière escalier intérieur, tondeuse électrique, cape bordure électrique, échelle 16',tuiles de plancher(cui & SDB en extra),tiroirs & tablettes dans l'escalier au SS","Supports de manteau et crochets à l'entrée (+ paniers - 3 blancs), crochets pour vélo, TV, 2 gardes-robes IKEA Chambres sous-sol, system 4 tablettes chambre avec lego","TRIPLEX DANS UN SECTEUR RECHERCHÉ AU SUD-OUEST. Cette propriété est ce dont vous attendiez! Immeuble bien entretenu, secteur tranquille et paisible à proximité de tout. 1 logement en RDC avec sous-sol et 4 chambres. Également, 2 logements au deuxième étage avec balcon. Plusieurs rénovations ont été effectuées. Appelez-nous tout de suite pour prendre un rendez-vous pour une visite.","NOS 3 COUPS DE COEUR:*Belle cour arrière;*Sous-sol entièrement rénové avec un plafond de 8 pieds;*Concept ouvert.  ÉCOLES:École Saint-Jean-De-Matha, École Dollard-Des-Ormeaux, Centre de formation professionnelle Verdun, École Coeur-Immaculé-De-Marie, École secondaire Honoré-Mercier, École N.d.p.s, Venture High School, Elizabeth High School, CPE le P'Tit Terminus, Cégep André-LaurendeauTRANSPORTS:Bus (36, 37, 350);Métro Monk (10 minutes de marche). LOISIRS:Bibliothèque Marie-Uguay, jeux d'eau du Parc Curé-Albert-Arnold, Concrete Pingpong Table, Parcours De Disc Golf Ignace-Bourget, Parc Ignace-BourgetPARCS:Parc Saint-Jean-de-Matha, Parc Angrignon, Parc Ignace-Bourget,Parc Clifford, Parc D'Arcy-McGeeAUTRES:Carrefour Angrignon, Dépanneur Yoos, SAQ, Jean-Coutu, IGA Plaza Monk, restaurants, cafés et autres.L'IMMEUBLE: 6298 - 6302 rue d'Aragon, Montréal, QC H4E 3B1- Triplex;- 2 logements sont loués;- Bons locataires;- Propriété très bien entretenue par le propriétaire occupant;- Belle cour arrière;- Coin tranquille et familial;- Stationnement très facile sur la rue;- Accès rapide au centre-ville de Montréal et aux autoroutes.Rénovations: En 2009- Fondation;- Drain français;- Entrée d'eau avec la ville;- Clapets;- Isolation du toit;- Fenêtres arrières;- Briques, côté arrière;- Balcons;- Électricité et plomberie;- Calorifères partout;- Réservoirs d'eau chaude;- Climatisation en 2010;- Fenêtres avant en 2018;- Briques avant restauration en haut en 2018;- Cuisine en 2019;- Escalier arrière en 2020.Façade - O | Cour - E | Fenêtres cui - E***Le certificat de localisation a été commandé***Longeant le magnifique canal Lachine, les quartiers de Ville-Émard et Côte Saint-Paul offrent une multitude d'opportunités d'enrichissements culturels et historiques pour ses résidents. Vous y trouverez plusieurs bâtiments datant de la fin du XIXe siècle et du début du XXe siècle qui vous donneront l'impression de reculer un pas à l'arrière dans les années de l'aménagement du canal Lachine. Comptant plus de 30 000 habitants, vous comprendrez vite pourquoi ce quartier est le plus populeux de l'arrondissement du Sud-Ouest. Le boulevard Monk vous accueillera avec plusieurs commerces ; des bagels pour déjeuner, une bonne pizza pour le souper ou même une petite sortie au théâtre, vous y trouverez de tout!",8.0,4.0,2+0
7,8,860 000 $,2,51 780 $,Duplex dans le quartier Saint-Paul/Émard construit en 1953,En rangée,"28,4 X 40 p / 8,63 X 12,19 m",251 100 $,,392 000 $,"28 X 87,4 p / 8,53 X 26,63 m",Oui (2021),"1 680 pc /    156,08 mc",,,Vignette (2),Plinthes à convection,,,"Climatiseur central, 2e étage nouvelle tête de pompe thermo cool",,,Tous les biens des locataires,"Investissez dans le parfait duplex situé dans le Sud-Ouest de Montréal - une rénovation complète avec des finitions modernes pour une expérience de vie inégalée. Générez 3 000 $ par mois avec une unité principale vacante offrant des espaces de vie spacieux, 2 chambres et un sous-sol entièrement aménagé avec 2 autres chambres. Le dernier étage dispose de 2 chambres lumineuses et spacieuses et est actuellement loué à 1 300 $ par mois. Vivez dans le quartier animé de Ville Émard, qui abrite une gamme de commodités, d'excellentes liaisons de transport, une scène culturelle riche et des monuments historiques. Une visite s'impose!","Bienvenue au 1629-1631 rue de Maricourt! Nous vous présentons ce superbe duplex situé dans le très recherché Sud-Ouest de Montréal. Une opportunité pour les investisseurs ou pour ceux à la recherche d'un immeuble propriétaire occupant. Cette propriété a subi une rénovation complète avec des finitions modernes et au goût du jour, garantissant qu'elle est prête à emménager et promet une expérience de vie inégalée.L'unité principale s'étend sur le rez-de-chaussée et le sous-sol, et elle est actuellement vacante, ayant un potentiel de générer un revenu de 3 000 $ par mois. Le rez-de-chaussée comprend des espaces de vie spacieux avec beaucoup de cachet et une grande cuisine parfaite pour ceux qui aiment cuisiner. Il dispose également de deux chambres qui offrent amplement d'espace et de lumière naturelle, garantissant que chacun dispose d'un espace confortable qui lui est propre. Le sous-sol entièrement aménagé est un atout, avec deux chambres supplémentaires et une salle de bain complète moderne. Les habitants auront également accès à une cour arrière spacieuse, parfaite pour se divertir ou se détendre.Le dernier étage est également rénové et actuellement loué 1300$ par mois. Il dispose de deux chambres lumineuses et spacieuses, ce qui en fait l'espace idéal pour les petites familles ou les couples.Situé au coeur de la dynamique ville de Montréal, le quartier de Ville Émard est un quartier populaire connu pour sa riche histoire et sa culture. Situé à quelques minutes du centre-ville de Montréal, ce quartier compte une communauté diversifiée de résidents, ce qui en fait un endroit idéal pour vivre, travailler et se divertir.Ville Émard est une région dynamique et animée avec une variété de commodités pour répondre aux besoins de chacun. Le quartier abrite une gamme de boutiques, de restaurants, de cafés et de bars, ainsi que plusieurs parcs et espaces verts, offrant aux résidents de nombreuses possibilités de profiter du plein air. La région comprend également un centre communautaire, une bibliothèque publique et plusieurs écoles, ce qui en fait un endroit idéal pour les familles.L'un des attraits les plus importants de ce quartier est son accès à tout type de transports. La région est bien desservie par les transports en commun, dont plusieurs lignes d'autobus et à deux minutes de la station Jolicoeur, ce qui facilite les déplacements dans la ville. De plus, la région est également bien desservie par les principales autoroutes, ce qui facilite les déplacements vers d'autres parties de Montréal.La région possède également une riche scène culturelle, avec plusieurs musées, galeries et théâtres situés à proximité. Le quartier abrite plusieurs bâtiments et monuments historiques, ajoutant à son charme et à son caractère.Dans l'ensemble, cette propriété est une excellente opportunité d'investissement pour ceux qui recherchent un revenu locatif stable. **Occupation 30 jours pour le 1629",8.0,4.0,2+0
8,9,895 000 $,3,51 360 $,Triplex dans le quartier Saint-Paul/Émard construit en 1952,En rangée sur coin,"29,11 X 42 p / 9,12 X 12,81 m",408 800 $,"2 573,65 pc /    239,1 mc",451 500 $,"50 X 80 p / 15,24 X 24,38 m",Oui (2022),"3 999,87 pc /    371,6 mc",,"Chauffée, Creusée","Allée (2), Garage (1)","Plinthes électriques, Thermopompe",,,"Détecteur d'incendie (non relié), Installation aspirateur central, Thermopompe centrale, Thermopompe murale, Ouvre-porte électrique garage",,Aspirateur central et ses accessoires au 1949; tous les accessoires de la piscine; le cabanon. Tous les luminaires et recouvrements de fenêtres. Lave-vaisselle au 1949. Tous les meubles et articles au 1951 (sous-sol) qui sont écrits sur le bail. Un abri d'auto. Les deux thermopompes (1949 et 1953).,Tous les meubles personnels des locataires incluant le lave-vaisselle au 1953 (il appartient au locataire). Les chauffe-eau qui sont en location.,"Localisation formidable, excellente condition (rénové au cours des ans et toujours bien entretenu), grand bâtiment, garage, piscine creusée chauffée au gaz naturel. Face à un parc, près de toutes commodités. Au RDC : 3 chambres à coucher, aires de vie ouvertes, établi au sous-sol, connecté au gaz naturel. À l'étage, rénové avec goût en 2020 : 2 cc, 2 sdb, très grand salon, grande cuisine et très grande salle à manger, habité par un locataire fiable et stable. Au sous-sol : un logement confortable d'une chambre à coucher, entièrement meublé. Facile à reprendre pour propriétaire occupant. Beaucoup de rangement à chaque étage.","Immeuble de qualité, construction solide et droite, très bien entretenu.Plus ou moins 1280 pieds carrés de surface par étage.Facile pour propriétaire occupant de reprendre le sous-sol.Tous les logements ont été rénovés au cours des années.Le gaz naturel est connecté au bâtiment.Cour arrière privée avec grande piscine creusée chauffée (gaz naturel), cabanon et espace jardin. Accès supplémentaire au sous-sol par la cour arrière.Détecteur de monoxyde de carbone dans l'atelier au sous-sol.Thermopompe centrale bi-énergie au RDC et thermopompe murale à l'étage.Sous-sol en béton de 6 pieds de hauteur.Les logements sont loués chauffés, éclairés et celui du sous-sol inclut également le WI-FI. Le coût de l'électricité mentionné plus haut est pour les 3 logements.Les contrats de service à être pris en charge par l'acheteur :-2 chauffe-eau avec Hydro Solution (cela a fait 10 ans en novembre 2022) et 1 chauffe-eau avec Energir-Hydro-Québec pour le 1951 et 1953-Internet pour le 1951L'EXTÉRIEUR* Terrain de 4 000 pieds carrés* Brique* Grande piscine creusée chauffée au gaz naturel, jardin et cabanon* Garage simple détaché du bâtiment mais attaché au bâtiment voisin* 2 stationnements dans l'allée* Toiture refaite en 2013 et recouverte avec une membrane blanche (garantie jusqu'en avril 2023)LOCALISATION IDÉALE* Quartier paisible et familial* Face au parc Campbell-Ouest : parc très familial avec terrains de jeux pour petits et grands, aire de pique-nique, chalet, ramassage des produits de la ferme, etc...* Métro Jolicoeur (env. 10 min.), métro Monk (env. 15 min.), station bixie, autobus, CUSM* Tout près des commerces et des services, marché Provigo, CLSC, Bain Émard (piscine intérieure), centre de loisirs Monseigneur Pigeon, plusieurs écoles primaires et secondaires, nombreuses garderies, et plus encore* Autour on y retrouve de nombreux parcs dont le fameux parc Angrignon, des pistes cyclables, Marché Atwater, canal Lachine* Près du centre-ville, des autoroutes 15, 20, 720 et 10, du pont Samuel-de-Champlain, de l'Hôpital de Verdun, des parcs riverains, du fleuve St-Laurent",8.0,3.0,1+0
9,10,875 000 $,3,40 500 $,Triplex dans le quartier Saint-Paul/Émard construit en 1931,En rangée,"25 X 47 p irr / 7,62 X 14,33 m irr",132 800 $,,362 700 $,"25 X 80 p / 7,62 X 24,38 m",Oui (2022),"1 999,93 pc /    185,8 mc",,,Garage (1),"Eau chaude, Plinthes électriques",,,Thermopompe murale,,"3 Chauffe eau, 2 Thermopompes Murale, Meuble Télé encastré au Sous-sol",Effets personnelle des locataires,Spacieux triplex situé dans un secteur en demande du Sud Ouest de Montréal. Magnifique 6 1/2 au RDC avec son cachet d'antan lui donnant tout le charme et la chaleur voulu pour en faire votre demeure. Rajouter un immense sous sol fini avec une cour clôturée et un garage simple...par chance que ce logement va être disponible a l'acheteur a partir du 1er Juillet 2022. Au 2e étage vous allez y retrouver 2 x 3 1/2 loué avec un revenu combiné de $1600 par mois. Ne manquer pas cette belle opportunité d'investir dans un triplex qui a été soigneusement entretenu est habiter par la propriétaire depuis 1994. A qui la chance...faites vite!,,8.0,3.0,1+0
